sigunNm,careNam,postalCd,addbyNo,addbyLc,latitude,longitude
가평군,가평군동물보호센터,12408,경기도 가평군 가평읍 승안리 100번지,경기도 가평군 가평읍 아랫마장길 59,37.8459543,127.4991358
고양시,고양시동물보호센터,10563,경기도 고양시 덕양구 원흥동 471-10번지,경기도 고양시 덕양구 고양대로 1695,37.6496069,126.870066
과천시,수성동물병원,18260,경기도 화성시 남양읍 남양리 465-3번지,경기도 화성시 남양읍 남양성지로 34,37.2054786,126.8074957
광명시,한국야생동물보호협회,15301,경기도 안산시 상록구 부곡동 231-5번지,경기도 안산시 상록구 청곡길 50,37.3401156,126.8700487
광주시,죽전동물불임센터,16884,경기도 용인시 처인구 모현읍 오산리 193-28번지,경기도 용인시 처인구 모현읍 대지로 407,37.3307628,127.1511568
구리시,한국동물구조관리협회,11409,경기도 양주시 남면 상수리 410-1번지,경기도 양주시 남면 감악산로 63-37,37.8700531,126.9831861
군포시,금정동물병원,15806,경기도 군포시 산본동 213-9번지,경기도 군포시 금산로 100,37.3708063,126.9368165
김포시,한국동물구조관리협회,11409,경기도 양주시 남면 상수리 410-1번지,경기도 양주시 남면 감악산로 63-37,37.8700531,126.9831861
남양주시,남양주동물보호협회,12237,경기도 남양주시 금곡동 427-28번지,경기도 남양주시 금곡로 44,37.63389828,127.2079274
동두천시,한국동물구조관리협회,11409,경기도 양주시 남면 상수리 410-1번지,경기도 양주시 남면 감악산로 63-37,37.8700531,126.9831861
부천시,부천시 수의사회,14544,경기도 부천시 상동 546-3번지,경기도 부천시 소향로13번길 14-16,37.50404106,126.7499546
성남시,펫토피아동물병원,13601,경기도 성남시 분당구 수내동 87-1번지,경기도 성남시 분당구 불정로 266,37.3670017,127.1276345
수원시,수원시수의사회,16484,경기도 수원시 팔달구 인계동 942번지,경기도 수원시 팔달구 경수대로 572,37.2766288,127.0308334
시흥시,한국야생동물보호협회,15301,경기도 안산시 상록구 부곡동 231-5번지,경기도 안산시 상록구 청곡길 50,37.3401156,126.8700487
안산시,한국야생동물보호협회,15301,경기도 안산시 상록구 부곡동 231-5번지,경기도 안산시 상록구 청곡길 50,37.3401156,126.8700487
안성시,이성준동물병원,17590,경기도 안성시 봉남동 326-2번지,경기도 안성시 중앙로 431-1,37.0065829,127.274787
안양시,한국야생동물보호협회,15301,경기도 안산시 상록구 부곡동 231-5번지,경기도 안산시 상록구 청곡길 50,37.3401156,126.8700487
양주시,한국동물구조관리협회,11409,경기도 양주시 남면 상수리 410-1번지,경기도 양주시 남면 감악산로 63-37,37.8700531,126.9831861
양평군,양평군동물보호센터,12547,경기도 양평군 양평읍 공흥리 1-2번지,경기도 양평군 양평읍 농업기술센터길 59,37.51079775,127.5142953
여주시,위더스동물메디컬센터 부설동물보호센터,12641,경기도 여주시 능서면 신지리 764-4번지,경기도 여주시 능서면 능서공원길 34,37.297553,127.5756334
연천군,한국동물구조관리협회,11409,경기도 양주시 남면 상수리 410-1번지,경기도 양주시 남면 감악산로 63-37,37.8700531,126.9831861
연천군,경기야생생물관리협회,11028,경기도 연천군 전곡읍 전곡리 477-9번지,경기도 연천군 전곡읍 온골로53번길 4,38.0256372,127.0675495
오산시,오산시 수의사회,18130,경기도 오산시 오산동 609-55번지,경기도 오산시 성호대로 36,37.149051,127.065149
용인시,용인시동물보호센터,17090,경기도 용인시 처인구 삼가동 164번지,경기도 용인시 처인구 중부대로 1074-1,37.243299,127.1591338
의왕시,수성동물병원,18260,경기도 화성시 남양읍 남양리 465-3번지,경기도 화성시 남양읍 남양성지로 34,37.2054786,126.8074957
의정부시,한국동물구조관리협회,11409,경기도 양주시 남면 상수리 410-1번지,경기도 양주시 남면 감악산로 63-37,37.8700531,126.9831861
이천시,위더스동물메디컬센터 부설동물보호센터,12641,경기도 여주시 능서면 신지리 764-4번지,경기도 여주시 능서면 능서공원길 34,37.297553,127.5756334
파주시,파주시 수의사회,10930,경기도 파주시 아동동 351-13번지,경기도 파주시 새꽃로 207,37.7658932,126.7753426
평택시,달래농장(유기동물보호소),17705,경기도 평택시 진위면 야막리 252-2번지,경기도 평택시 진위면 야막길 88-37,37.1244138,127.0560984
포천시,한국동물구조관리협회,11409,경기도 양주시 남면 상수리 410-1번지,경기도 양주시 남면 감악산로 63-37,37.8700531,126.9831861
하남시,하남동물병원,12978,경기도 하남시 덕풍동 420-35번지,경기도 하남시 신평로 37,37.5371145,127.204029
화성시,남양유기견보호센터,18254,경기도 화성시 남양읍 북양리 12-2번지,경기도 화성시 남양읍 화성로 1483-27,37.2275777,126.8445925
화성시,수성동물병원,18260,경기도 화성시 남양읍 남양리 465-3번지,경기도 화성시 남양읍 남양성지로 34,37.2054786,126.8074957
화성시,청산동물병원,18567,경기도 화성시 우정읍 조암리 348번지,경기도 화성시 우정읍 3.1만세로 29,37.0821769,126.8171696
가평군,가평군청,12408,경기도 가평군 가평읍 승안리 100번지,경기도 가평군 가평읍 아랫마장길 59,37.8459543,127.4991358
남양주시,남양주동물보호협회,12256,경기도 남양주시 다산동 4001-10번지,경기도 남양주시 도농로 32,37.6093395,127.1600322
부천시,고양이세상,14418,경기도 부천시 원종동 293-4번지,경기도 부천시 원종로79번길 12,37.5245126,126.808929
부천시,부천시 수의사회,14544,경기도 부천시 상동 546-6번지,경기도 부천시 소향로 25,37.5039266,126.7506575
부천시,나눔농장,14400,경기도 부천시 대장동 259-3번지,경기도 부천시 대장로 137,37.5417006,126.7859271
양평군,강아지와고양이,12615,경기도 여주시 북내면 가정리 458-1번지,경기도 여주시 북내면 강문로 117,37.2990276,127.6823257
여주시,강아지와고양이,12615,경기도 여주시 북내면 가정리 458-1번지,경기도 여주시 북내면 강문로 117,37.2990276,127.6823257
이천시,강아지와고양이,12615,경기도 여주시 북내면 가정리 458-1번지,경기도 여주시 북내면 강문로 117,37.2990276,127.6823257
파주시,파주시수의사회,10930,경기도 파주시 아동동 351-13번지,경기도 파주시 새꽃로 207,37.7658932,126.7753426
하남시,스타동물병원,12113,경기도 남양주시 별내동 1008번지,경기도 남양주시 별내2로 64,37.6662792,127.1133146
부천시,행복한동물병원,14544,경기도 부천시 상동 546-3번지,경기도 부천시 소향로13번길 14-16,37.5040375,126.7499585
부천시,부부종합동물병원,14703,경기도 부천시 소사본동 158-26번지,경기도 부천시 은성로 63,37.4753164,126.7977401
부천시,24시아이동물메디컬,14427,경기도 부천시 원종동 229-8번지,경기도 부천시 소사로 779,37.5256574,126.8045482
성남시,우리동물병원,13609,경기도 성남시 분당구 정자동 56-1번지,경기도 성남시 분당구 백현로156번길 17-2,37.3712231,127.1139136
평택시,파라오농장,17705,경기도 평택시 진위면 야막리 658-88번지,경기도 평택시 진위면 방꼬지길 51,37.1133138,127.0600822
포천시,포천시농업기술센터,11139,경기도 포천시 신북면 기지리 647-1번지,경기도 포천시 신북면 틀못이길 11-88,37.9232151,127.2256846
하남시,건국동물병원,12958,경기도 하남시 신장동 406-2번지,경기도 하남시 하남대로 795,37.5403485,127.2088354
하남시,햇살동물병원,12970,경기도 하남시 덕풍동 383-10번지,경기도 하남시 신장로 176,37.541066,127.2002267
용인시,죽전동물불임센터,16884,경기도 용인시 처인구 모현읍 오산리 193-28번지,경기도 용인시 처인구 모현읍 대지로 407,37.3307628,127.1511568
화성시,한국야생동물보호협회,15301,경기도 안산시 상록구 부곡동 231-5번지,경기도 안산시 상록구 청곡길 50,37.3401156,126.8700487
화성시,경기도수의사회,18567,경기도 화성시 우정읍 조암리 348번지,경기도 화성시 우정읍 3.1만세로 29,37.0821769,126.8171696
